Job Title,Employer,Estimated Salary,Location
Principal Integrity Engineer,Asset Integrity Engineering (AIE)3.9 ★,NA,Sharjah
Software Engineer,MicroBee Global,AED 3K - AED 4K (Employer est.),Sharjah
Planning Engineer,ASIA PRIME GENERAL CONTRACTING COMPANY,NA,Sharjah
Junior Software Engineer,NEXSYS ONE,NA,Dubai
"Software Engineer (React.js, REACT NATIVE, Node.js, Nest.js, Typescript,JS)",SCNELL LLC-FZ,AED 2K - AED 8K (Employer est.),Dubai
Land Surveyor,Green Stone Landscaping Est.,AED 3K - AED 4K (Employer est.),Abu Dhabi
Business Development Manager,Hydrocore Ltd.,NA,Dubai
Civil Site Engineer,Appolonia Dentistry for Children,NA,Abu Dhabi
Software Engineer,Emirates NBD3.7 ★,NA,United Arab Emirates
MEP BIM Engineer,Albaddad capital,AED 6K - AED 7K (Employer est.),Dubai
Electrical Engineer / Drafter,Confidential,NA,Sharjah
Senior Software Engineer,The Emirates Group4.1 ★,NA,Dubai
"GRADUATE SOFTWARE ENGINEER - Dubai, UAE - Cobblestone...",Talent Pal,NA,Dubai
Software Development Engineer (Backend) - InvestSky,Talent Pal,NA,Dubai
Software Engineer II - Backend - Talabat,Talent Pal,NA,Dubai
Software Development Engineer (Frontend),InvestSky5.0 ★,NA,Dubai
"GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Cobblestone Energy - Dubai, UAE.",NA,Sharjah
Software Development Engineer (Frontend) - InvestSky,Talent Pal,NA,Dubai
Frontend Software Engineer - CAFU,Talent Pal,NA,Dubai
Software Support Engineer,MAF FIRE MIDDLE EAST LLC,NA,Dubai
Junior Software Engineer,Energetech,NA,Dubai
Sales Engineer IT ELV,VAS Technologies llc3.7 ★,AED 3K - AED 5K (Employer est.),Dubai
Software Engineer,Medad Holding,NA,Abu Dhabi
Software Engineer Asc,Lockheed Martin Corporation4.1 ★,NA,Abu Dhabi
React JS Software Engineer - MM Staffing & Career...,Talent Pal,NA,Dubai
Software Engineer II - Backend,Talabat4.0 ★,NA,Dubai
Software Developer,MTA Management Consultancies,AED 5K (Employer est.),Dubai
Desktop Support Engineer,NAFFCO3.5 ★,NA,Dubai
Software Engineer Sr,Lockheed Martin Corporation4.1 ★,NA,Abu Dhabi
Senior Software Engineer,NeST Digital3.9 ★,NA,Dubai
HSE Engineer,NA,AED 3K (Employer est.),Abu Dhabi
Full Stack Software Engineer (.NET),NA,NA,Dubai
Software Developer,NA,AED 8K - AED 10K (Employer est.),Dubai
Software Engineer,NA,NA,Dubai
Software System Administrator/ Software Engineer,NA,AED 8K - AED 12K (Employer est.),Dubai
