Job Title,Employer,Estimated Salary,Location
Female Nail Technician,The Beauty District,AED 2K (Employer est.),Sharjah
Specialist Ophthalmologist,Al Madar Medical Center-LLC,NA,Sharjah
Digital Marketing Executive Female,Ingenious Digital Marketing Management,AED 5K - AED 7K (Employer est.),Dubai
Odoo Developer Wanted,Al Safar,AED 4K (Employer est.),Dubai
Senior Full Stack Laravel Developer with DevOps & Design Pattern Exp.,Transport Systems LLC,AED 7K - AED 9K (Employer est.),Ajman
Eyelash tecnetion,Change beauty center,NA,Sharjah
Specialist Dermatologist,Sunface Medical Aesthetic Center,AED 12K - AED 15K (Employer est.),Dubai
FEMALE OBSTETRICS & GYNECOLOGIST WITH MOH EVALUATION LETTER,BEST IVF,AED 20K (Employer est.),Sharjah
Senior Hairdresser,Sasha Beauty Salon,AED 5K (Employer est.),Dubai
Female Hair Stylist / Hairdresser,The Beauty District,AED 3K - AED 5K (Employer est.),Sharjah
Taekwondo Instructor,Rise Center for Dance and Taekwondo,AED 4K - AED 6K (Employer est.),Abu Dhabi
Manicurist/Nail Technician,Sasha Beauty Salon,NA,Dubai
Fiberglass Technician,alabbar marine,AED 3K (Employer est.),Dubai
Lash Extension Specialist,TEN 10 AVENUE BEAUTY LOUNGE,AED 4K (Employer est.),Dubai
ИСПОЛНИТЕЛЬНЫЙ ДИРЕКТОР ПО ЛИСТИНГУ РУССКИЙ + АНГЛИЙСКИЙ,Steer Well Cars,AED 3K - AED 4K (Employer est.),Sharjah
Sales Specialist,VLT Robotics (Dubai),NA,Remote
Specialist Dermatologist,Healthline Medical group,AED 35K - AED 45K (Employer est.),Abu Dhabi
Female Massage Therapist,Yuan Qi Acupuncture Center,AED 3K (Employer est.),Dubai
ENT Doctor,Max Healthcare4.1 ★,AED 10K - AED 36K (Employer est.),Abu Dhabi
Nail Technician,Super Team,AED 3K - AED 5K (Employer est.),Sharjah
General Beautician,Inekas Ladies Salon,AED 2K - AED 3K (Employer est.),Sharjah
Senior All Round Beautician,thaioasis,AED 4K - AED 10K (Employer est.),Abu Dhabi
German Language Instructor,Duke Training Centre,AED 2K (Employer est.),Abu Dhabi
Prosthodontist,ROYAL CARE MEDICAL CENTRE4.0 ★,AED 16K - AED 20K (Employer est.),Al `Ayn
Senior Flutter Developer,Zvoid,AED 15K (Employer est.),Dubai
Senior Property Consultant,One investments,NA,Dubai
Senior Property Consultant,Zeal Way Real Estate,AED 7K - AED 10K (Employer est.),Dubai
Specialist Family medicine,Max Healthcare4.1 ★,AED 25K - AED 30K (Employer est.),Abu Dhabi
Aesthetic Nurse,Beverly Hills Wellness and Aesthetics,AED 2K - AED 11K (Employer est.),Dubai
French speaking music teacher for summer camp,Irving Fine Arts Academy,AED 3K - AED 4K (Employer est.),Dubai
Sales Executive Jobs in Dubai (with Salaries) 2023,NA,AED 3K (Employer est.),Dubai
Telesales Jobs in Dubai (with Salaries) 2023,NA,AED 3K (Employer est.),Dubai
IT Assistant,NA,NA,Sharjah
IT Support Intern,NA,NA,Abu Dhabi
Data Entry,NA,NA,Dubai
Junior Accountant,NA,AED 3K (Employer est.),Sharjah
IT Service Infrastructure Manager - DHL,NA,NA,Dubai
Administrative Assistant,NA,NA,Sharjah
Software Quality Engineer,NA,NA,Dubai
Senior Software Test Engineer / Software Test Engineer,NA,NA,Dubai
Senior Software Developer,NA,AED 8K - AED 11K (Employer est.),Dubai
Assistant Shipping Executive,NA,NA,Al Ḩamrīyah
End User Support Specialist,NA,NA,Dubai
KERING HR Admin Assistant,NA,NA,Dubai
Shipping Executive,NA,NA,Al Ḩamrīyah
Customer Service Representative,NA,NA,Dubai
Project Supervisor,NA,AED 4K - AED 5K (Employer est.),Dubai
IT Supervisor,NA,AED 4K (Employer est.),Dubai
MVC .Net Core Angular Web Software Programmer,NA,NA,Dubai
Dubai - Full-stack Developer (SaaS),NA,NA,Dubai
AutoCAD Draftsman - Joinery,NA,AED 5K - AED 7K (Employer est.),Dubai
Kotlin/Java Software Engineer,NA,NA,Abu Dhabi
Draughtsman,NA,AED 2K - AED 3K (Employer est.),Umm al Qaywayn
IT Assistant,NA,AED 3K (Employer est.),Dubai
IT Specialist - InterContinental Hotels Group® Dubai Festival City,NA,NA,United Arab Emirates
Analytical Chemist,NA,NA,Dubai
Customer Service / Scheduler,NA,AED 3K (Employer est.),Dubai
Senior Data Engineer,NA,NA,Dubai
Junior Accountant,NA,AED 3K (Employer est.),Dubai
Tyre Technician,NA,NA,Dubai
Sales Executive Jobs in Dubai (with Salaries) 2023,NA,AED 3K (Employer est.),Dubai
Telesales Jobs in Dubai (with Salaries) 2023,NA,AED 3K (Employer est.),Dubai
IT Assistant,NA,NA,Sharjah
IT Support Intern,NA,NA,Abu Dhabi
Data Entry,NA,NA,Dubai
Junior Accountant,NA,AED 3K (Employer est.),Sharjah
IT Service Infrastructure Manager - DHL,NA,NA,Dubai
Administrative Assistant,NA,NA,Sharjah
Software Quality Engineer,NA,NA,Dubai
